category,prefecture,store_name,address,phone
自転車販売店,佐賀県,伊万里市二里コミュニティセンター,佐賀県伊万里市二里町大里乙３２１－３,0955-23-3024
自転車販売店,佐賀県,伊万里市南波多コミュニティセンター,佐賀県伊万里市南波多町井手野２６８５－１,0955-24-2001
自転車販売店,佐賀県,伊万里市大坪コミュニティセンター,佐賀県伊万里市大坪町甲２８６３－１,0955-23-9898
自転車販売店,佐賀県,伊万里市大川内コミュニティセンター,佐賀県伊万里市大川内町丙２４１０－１,0955-23-2774
自転車販売店,佐賀県,伊万里市大川コミュニティセンター,佐賀県伊万里市大川町大川野３３４０－１,0955-29-2001
自転車販売店,佐賀県,伊万里市山代コミュニティセンター,佐賀県伊万里市山代町久原２６９６－２,0955-28-2001
自転車販売店,佐賀県,伊万里市牧島コミュニティセンター,佐賀県伊万里市木須町５８３２－２,0955-22-5783
自転車販売店,佐賀県,伊万里市東山代コミュニティセンター,佐賀県伊万里市東山代町里１０５,0955-28-0001
自転車販売店,佐賀県,伊万里市伊万里コミュニティセンター,佐賀県伊万里市松島町３５０－４,0955-23-9988
自転車販売店,佐賀県,佐賀県西部広域環境組合さが西部クリーンセンター　管理棟,佐賀県伊万里市松浦町山形５０９２－４,0955-26-2353
自転車販売店,佐賀県,伊万里市松浦コミュニティセンター,佐賀県伊万里市松浦町山形５４９０－２,0955-26-2001
自転車販売店,佐賀県,伊万里市波多津コミュニティセンター,佐賀県伊万里市波多津町辻２９８９－５,0955-25-0001
自転車販売店,佐賀県,伊万里市市民交流部　環境政策課,佐賀県伊万里市立花町１３５５－１,0955-23-2145
自転車販売店,佐賀県,伊万里市立花コミュニティセンター,佐賀県伊万里市立花町１８９１－７９,0955-20-4567
自転車販売店,佐賀県,サイクルショップ　オオクボ,佐賀県伊万里市立花町３４４９－７,0955-23-4012
自転車販売店,佐賀県,（株）あさひサイクルベースあさひ佐賀店,佐賀県佐賀市本庄町袋２４６－１,0952-27-7742
自転車販売店,佐賀県,唐津市七山市民センター,佐賀県唐津市七山滝川１２５４,0955-53-7173
自転車販売店,佐賀県,唐津市清掃センター,佐賀県唐津市北波多岸山２３４－２,0955-64-3106
自転車販売店,佐賀県,唐津市北波多市民センター,佐賀県唐津市北波多徳須恵１０９７－４,0955-53-7133
自転車販売店,佐賀県,唐津市厳木市民センター,佐賀県唐津市厳木町厳木９９７,0955-53-7113
自転車販売店,佐賀県,唐津市呼子市民センター,佐賀県唐津市呼子町呼子１９９５－１,0955-53-7163
自転車販売店,佐賀県,（株）あさひサイクルベースあさひ唐津店,佐賀県唐津市和多田本村２－１９,0955-65-8330
自転車販売店,佐賀県,唐津市浜玉市民センター,佐賀県唐津市浜玉町浜崎１４４５－１,0955-53-7103
自転車販売店,佐賀県,唐津市相知市民センター,佐賀県唐津市相知町相知２０５５－１,0955-53-7123
自転車販売店,佐賀県,唐津市肥前市民センター,佐賀県唐津市肥前町入野甲１７０３,0955-53-7143
自転車販売店,佐賀県,唐津市市役所　生活環境対策課,佐賀県唐津市西城内１－１,0955-72-9175
自転車販売店,佐賀県,唐津市鎮西市民センター,佐賀県唐津市鎮西町名護屋１５３０,0955-53-7153
自転車販売店,佐賀県,小城市市役所,佐賀県小城市三日月町長神田２３１２－２,0952-37-6102
自転車販売店,佐賀県,小城市廃棄物中継センター,佐賀県小城市牛津町柿樋瀬１１７４－１,0952-37-6145
自転車販売店,佐賀県,玄海町役場　生活環境課,佐賀県東松浦郡玄海町大字諸浦３４８,0955-52-2189
自転車販売店,佐賀県,江北町役場　町民生活課,佐賀県杵島郡江北町大字山口１６５１－１,0952-86-5617
自転車販売店,佐賀県,白石町役場　生活環境課,佐賀県杵島郡白石町大字福田１２４７－１,0952-84-7118
自転車販売店,佐賀県,サイクルハウスみぞぐち,佐賀県杵島郡白石町福田２２４６－１,0952-84-2040
自転車販売店,佐賀県,武雄市北方公民館,佐賀県武雄市北方町大字大崎２２１７,0954-36-2515
自転車販売店,佐賀県,武雄市山内公民館,佐賀県武雄市山内町大字三間板甲１３８００,0954-45-2139
自転車販売店,佐賀県,武雄市朝日公民館,佐賀県武雄市朝日町大字甘久４２９５,0954-22-3872
自転車販売店,佐賀県,武雄市東川登公民館,佐賀県武雄市東川登町大字永野６２４０－８,0954-23-3009
自転車販売店,佐賀県,武雄市橘公民館,佐賀県武雄市橘町大字大日８５０７－７,0954-22-3884
自転車販売店,佐賀県,武雄市武内公民館,佐賀県武雄市武内町大字真手野２８０４４,0954-27-2001
自転車販売店,佐賀県,武雄市環境部　環境課,佐賀県武雄市武雄町大字昭和１２－１０,0954-27-7163
自転車販売店,佐賀県,武雄市武雄公民館,佐賀県武雄市武雄町大字武雄５５３８－１,0954-23-8147
自転車販売店,佐賀県,武雄市若木公民館,佐賀県武雄市若木町大字川古７４７４,0954-26-2004
自転車販売店,佐賀県,武雄市西川登公民館,佐賀県武雄市西川登町大字神六２０１１４－４,0954-28-2004
自転車販売店,佐賀県,脊振共同塵芥処理組合,佐賀県神埼市脊振町鹿路３３６２脊振広域クリーンセンター,0952-51-9010
自転車販売店,佐賀県,有田町リサイクルプラザ,佐賀県西松浦郡有田町戸矢乙１５７４,0955-41-1153
自転車販売店,佐賀県,有田町役場,佐賀県西松浦郡有田町立部乙２２０２,0955-46-2734
自転車販売店,佐賀県,鹿島市ゼロカーボンシティ推進課,佐賀県鹿島市大字納富分２６４３－１,0954-63-3416
